"däna·kye","(-kyyt): ❶ a) wegräumen (Gu1 Fr1 ML1 Gi2 Re1 Si1 Ss1); SYN: dänatue. ↑vùrsoorge. b) wegwerfen, los werden (Dü1 Üb1 Si1 Pl1); SYN: kǜdere. ❷ jmdn. abweisen, verstossen (We1 Si1 Ss1); SYN: usikye.","[auch denakye (Gi2) (r) veraltet (r) zu däna + kye (r) Id 2,1104: nur BE, FR]"
"däna·tue","(-taa): wegräumen, auf die Seite stellen (Ta1 Gi2). SYN: dänakye.",""
"danay","(Part.): hier durch, da entlang (wh 112); chom danaij anna (wh 25); ↑dedǜǜr.","[aus *dâ-nâch-hin (r) danay anna 'von hierhin herüber']"
"dänes"," s. denes.",""
"danke","(tanket): ❶ danken (Gu UL Fr ML Gi1 Re1 Si1 OL2 / wh 98); i danke no iinisch zämethaft allne zäme (pb Spät88); SYN: douche. ZSS: be~. ❷ Dankformel: vielen Dank (sds 5,115: Dü Ta Pl); SYN: merssi.","[Id 13,624]"
"danù/dänùù"," s. denù.",""
"dära"," s. dera.",""
"däras"," s. deras.",""
"därig","(Pron.): derartig, solches: aber nit Heu, därigs git es bald a kis meh (FN 19.4.1916); SYN: settiga.",""
"därsäḷba","(Pron.): derselbe (wh 201); dr säḷb Aabe am gleichen Abend (wh 201); SYN: disa.","[Stucki 1917,282]"
"dass","(Part.): ❶ dass (wh 147); e be jetzt nit meh werth, daß der me euwa Bueb namset (Stalder 1819: UL); dass der nüüt as mǜnder hiiget Formel, mit der man jmdm. Gutes wünscht (pm 47); SYN: ass. ❷ relat. Pronomen, das: däno sogar uns Gältitla ahrechnet, daß mer gar net hei die wir gar nicht besitzen (FZ 11.2.1865).","[2. sehr ungewöhnlich]"
"das·säḷba","(Pron.): dasselbe (wh 201); vgl. Anhang 2.",""
"dässele"," s. täsele.",""
"dasùma"," s. desùma.",""
"Davoser·schlitte"," s. Dawooser.",""
"däwääg","(Part.): ❶ diesen Weg entlang. ❷ so, auf diese Weise, so sehr: dii, wa (...) si däwääg hii müesse wöre (pb Spät107); SYN: asoo.",""
"Dawooser","(m, unveränd.): Holzschlitten (Ta1); d Davoserschlitte, Rytygiisse, Chrùzleni, Zybyse ù d Fesslitube (aj Rollimoos61); ‡Schlitte.",""
"de1","(Part.): dann, darauf: er hät de eem va de Chnächte gschruo (Stalder 1819: OL); de hesch de Glück u Säge! (vs 1913,5); ↑denù. • Ra.: de wooḷ dann erst recht, trotzdem: aber wan es dù endlich naaggla hät, de wouw! (fa Religion).",""
"de2","(Art.): a) der, Nom. od. Akk. Sg.: das hät er nùme gmacht, fùr am Seppili de Gruusen yzjage (fa Chatz); a Strange ùm e Hals glyeret (pm 10); ↑dr. b) den, unbetont; Dat. Pl.: wes zwǜsche de Wùuche rot ù gluetig chämi (aj Rollimoos56); c) der, Dat. Sg. fem.: we dù i de Mǜschtbäära ùf d Wält choe bǜsch (Volkskalender 1996,61); vgl. Anhang 2.","[auch e (pm)]"
"debyy"," s. derbyy.",""
"dedǜǜr","(Part.): durch, vorbei, a) räuml. (allg.); wa ali dedǜǜr sy, sù isch [ds Backli] o dedǜǜr ù het afa frässe (pm 75); SYN: dǜr1, dǜǜr2. ↑ danay, fǜǜr, hienay, vùrbyy. b) zeitl.","[auch derdǜǜr (wh), dadǜǜr (Re1), dedǜr (Si1) (r) aus *dâr-dur-hin; vgl. mhd dàr, dà 'da, dort' u. dur 'durch' (r) Id 13, 1465]"
